HANNOVERMESSE 2026 - Exhibitors
Hit type;Exhibitor;Country;Zip Code;City;Federal State;CCI District;Company website;Booth;Exhibitor presentation
Exhibitor;Aashirwad Press Tools;India;;Thane 401305;;;https://www.aashirwadpresstools.com;"Hall 17, Stand F60";https://www.hannovermesse.de/exhibitor/aashirwad-press-tools/N1611362;
Exhibitor;abat AG;Germany;28217;Bremen;Bremen;;https://www.abat.de;"Hall 26, Stand E98, (26)";https://www.hannovermesse.de/exhibitor/abat/N1606269;
Exhibitor;Abbey Seals International Ltd.;Ireland;D12 TNY6;Dublin;;;http://www.abbeyseals.ie;"Hall 13, Stand F34";https://www.hannovermesse.de/exhibitor/abbey-seals-international/N1575764;
Exhibitor;ABeam Consulting Ltd.;Japan;;Tokyo 104-0028;;;https://www.abeam.com;"Hall 13, Stand E21";https://www.hannovermesse.de/exhibitor/abeam-consulting/N1479914;
Exhibitor;abilis GmbH;Germany;76297;Stutensee;Baden-Wurttemberg;;https://www.abilis.de;"Hall 15, Stand D36";https://www.hannovermesse.de/exhibitor/abilis/N1605304;
Exhibitor;Associacao Brasileira da Industria Electrica e Eletronica - ABINEE;Brazil;01311-926;Sao Paulo SP;;;http://www.abinee.org.br;"Hall 12, Stand C22";https://www.hannovermesse.de/exhibitor/abinee/N1610628;
Exhibitor;Abodia IT&Medientechnik GmbH;Germany;28790;Schwanewede;Lower Saxony;;http://www.abodia.de;"Hall 13, Stand F81";https://www.hannovermesse.de/exhibitor/abodia-it-medientechnik/N1607468;
Exhibitor;Abon Touchsystems, Inc.;Taiwan;106067;Taipei City;;;https://www.abontouch.com.tw;"Hall 27, Stand E05, (2)";https://www.hannovermesse.de/exhibitor/abon-touchsystems/N1607094;
Exhibitor;Above-Net Comercio de Informatica Telecomunicacao e Servicos Ltda;Brazil;22631-250;Rio De Janeiro RJ;;;http://www.abovenet.com.br;"Hall 11, Stand D55";https://www.hannovermesse.de/exhibitor/above-net-comercio-de-informatica/N1611581;
Exhibitor;Abura Technik GmbH;Germany;99310;Arnstadt;Thuringia;;http://www.abura-technik.de;"Hall 17, Stand D55";https://www.hannovermesse.de/exhibitor/abura-technik-butz-fluid/N1608243;
Exhibitor;Accenture Inc.;United States of America;;Chicago, IL 60661;;;http://www.accenture.com;"Hall 17, Stand G06";https://www.hannovermesse.de/exhibitor/accenture/N1614828;
Exhibitor;Accenture Dienstleistungen GmbH;Germany;61476;Kronberg;Hesse;;http://www.accenture.com/us-en/services/digital-engineering-manufacturing;"Hall 16, Stand A15";https://www.hannovermesse.de/exhibitor/accenture-dienstleistungen/N1506267;
Exhibitor;Accenture Dienstleistungen GmbH;Germany;61476;Kronberg;Hesse;;https://www.accenture.com/us-en/services/digital-engineering-manufacturing;"Hall 15, Stand F08";https://www.hannovermesse.de/exhibitor/accenture-dienstleistungen/N1574301;
Exhibitor;Accenture Dienstleistungen GmbH;Germany;61476;Kronberg;Hesse;;https://www.accenture.com/us-en/services/digital-engineering-manufacturing;"Hall 15, Stand D76";https://www.hannovermesse.de/exhibitor/accenture-dienstleistungen/N1573777;
Exhibitor;Accevo sp. z o.o.;Poland;31-564;Krakow;;;https://www.accevo.com;"Hall 15, Stand E18";https://www.hannovermesse.de/exhibitor/accevo/N1487359;
Exhibitor;Accuenergy (Canada) Inc.;Canada;;Toronto M1L 2H6;;;http://www.accuenergy.com;"Hall 12, Stand C87";https://www.hannovermesse.de/exhibitor/accuenergy-canada/N1565911;
Exhibitor;ACD Antriebstechnik GmbH;Germany;88480;Achstetten;Baden-Wurttemberg;;https://www.acd-gruppe.de/antriebstechnik;"Hall 26, Stand E98, (25)";https://www.hannovermesse.de/exhibitor/acd-antriebstechnik/N1608059;
Exhibitor;Achatas UAB;Lithuania;35114;Panev??ys;;;https://www.achatas.lt;"Hall 26, Stand B78";https://www.hannovermesse.de/exhibitor/achatas-uab/N1612105;
Exhibitor;Acoforja Industria de Forjados SA;Brazil;33040-278;Santa Luzia MG;;;http://www.acoforja.com.br;"Hall 17, Stand D52";https://www.hannovermesse.de/exhibitor/acoforja-industria-de-forjados/N1609073;
Exhibitor;Acolucci Maquinas para Embalagens Ltda.;Brazil;81050-500;Curitiba PR;;;https://www.acolucci.com.br;"Hall 17, Stand D52";https://www.hannovermesse.de/exhibitor/acolucci-maquinas-para-embalagens/N1609074;
Exhibitor;acontis technologies GmbH;Germany;88250;Weingarten;Baden-Wurttemberg;;http://www.acontis.com;"Hall 27, Stand G59";https://www.hannovermesse.de/exhibitor/acontis-technologies/N1483096;
Exhibitor;Acrel Co., Ltd.;China;201801;Shanghai;;;http://www.acrel.cn;"Hall 13, Stand G59";https://www.hannovermesse.de/exhibitor/acrel/N1536817;
Exhibitor;ACS Automated Cleaning Services Inc.;Canada;;Calgary, AB T3H 3C8;;;http://www.automated.cleaning;"Hall 26, Stand E78";https://www.hannovermesse.de/exhibitor/acs-automated-cleaning-solutions/N1608264;
Exhibitor;ACS Industries, Inc.;United States of America;;Lincoln 02865;;;http://www.acsindustries.com;"Hall 11, Stand D25";https://www.hannovermesse.de/exhibitor/acs-industries/N1520805;
Exhibitor;Actiz Optimizers Ltda.;Brazil;29101-115;Praia da Costa, Vila Velha ES;;;https://www.actiz.com.br;"Hall 11, Stand D55";https://www.hannovermesse.de/exhibitor/actiz-optimizers/N1608632;
Exhibitor;Actuonix Motion Devices Inc.;Canada;;Saanichton, BC V8M 0B3;;;https://www.actuonix.com;"Hall 26, Stand E78";https://www.hannovermesse.de/exhibitor/actuonix-motion-devices/N1610095;
Exhibitor;Adastra GmbH;Germany;60486;Frankfurt;Hesse;;http://www.de.adastragrp.com;"Hall 15, Stand D76";https://www.hannovermesse.de/exhibitor/adastra/N1546470;
Exhibitor;ADDITIVE Soft- und Hardware für Technik und Wissenschaft GmbH;Germany;61231;Bad Nauheim;Hesse;;https://www.additive-net.de;"Hall 17, Stand E17";https://www.hannovermesse.de/exhibitor/additive-soft-und-hardware/N1536818;
Exhibitor;Adesio sas;France;35400;Saint-Malo;;;https://www.adesio.com;"Hall 11, Stand D67";https://www.hannovermesse.de/exhibitor/adesio/N1607150;
Exhibitor;ADIA Lab. Inc.;Korea, Republic of;48059;Haeundae-gu;;;http://codevision.kr;"Hall 16, Stand B17";https://www.hannovermesse.de/exhibitor/adia-lab-/N1614512;
Exhibitor;ADITO Software GmbH;Germany;84144;Geisenhausen;Bavaria;;https://www.adito.de;"Hall 15, Stand A18/5";https://www.hannovermesse.de/exhibitor/adito-software/N1605305;
Exhibitor;ads-tec Energy GmbH;Germany;72622;Nürtingen;Baden-Wurttemberg;;http://www.adstec-energy.com;"Hall 12, Stand E63";https://www.hannovermesse.de/exhibitor/ads-tec-energy/N1509257;
Exhibitor;Advanced Algorithms 4 Radar S.L;Spain;30001;Murcia;;;https://a4radar.com;"Hall 11, Stand E62";https://www.hannovermesse.de/exhibitor/advanced-algorithms-4-radar/N1609064;
Exhibitor;Advanced Metallurgy Technology Co., Ltd.;China;264006;Yantai;;;https://www.AMTmetalTech.com/StandardProducts;"Hall 11, Stand E24";https://www.hannovermesse.de/exhibitor/advanced-metallurgy-technology/N1605306;
Exhibitor;Aegis Software GmbH;Germany;90461;Nürnberg;Bavaria;;https://www.aiscorp.com;"Hall 15, Stand D26";https://www.hannovermesse.de/exhibitor/aegis-software/N1506268;
Exhibitor;Aeolus Robotics Taiwan Company Limited;Taiwan;114062;Taipei City;;;http://aeolusbot.com;"Hall 27, Stand E05, (6)";https://www.hannovermesse.de/exhibitor/aeolus-robotics-taiwan-company/N1607095;
Exhibitor;Aeon Robotics GmbH;Germany;38106;Braunschweig;Lower Saxony;;https://aeonrobotics.com/;"Hall 11, Stand E44";https://www.hannovermesse.de/exhibitor/aeon-robotics/N1610067;
Exhibitor;Airbus Operations GmbH;Germany;21129;Hamburg;Hamburg;;https://www.aerospace-x.net/;"Hall 13, Stand C24";https://www.hannovermesse.de/exhibitor/aerospace-x/N1577303;
Exhibitor;AES Akku Energie Systeme GmbH;Germany;21436;Marschacht;Lower Saxony;;http://www.akkuenergiesysteme.de;"Hall 12, Stand E90";https://www.hannovermesse.de/exhibitor/aes-akku-energie-systeme/N1612541;
Exhibitor;Ätztechnik Herz GmbH & Co. KG;Germany;78736;Epfendorf;Baden-Wurttemberg;;http://www.aetztechnik-herz.de;"Hall 12, Stand E63";https://www.hannovermesse.de/exhibitor/atztechnik-herz/N1572883;
Exhibitor;AFC Europe Ltd. Niederlassung Bochum;Germany;44795;Bochum;North Rhine-Westphalia;;http://www.tfc.eu.com;"Hall 17, Stand B18";https://www.hannovermesse.de/exhibitor/afc-europe/N1537220;
Exhibitor;Afry Brasil LTDA;Brazil;04726-908;Sao Paulo SP;;;https://afry.com/en;"Hall 12, Stand C22";https://www.hannovermesse.de/exhibitor/afry/N1610068;
Exhibitor;Daryl Edwards Executive Coaching;Canada;;Whitby, ON L1P 0H8;;;https://www.agentimpact.ai;"Hall 27, Stand A12";https://www.hannovermesse.de/exhibitor/agent-impact/N1609083;
Exhibitor;agent.ally UG (haftungsbeschränkt);Germany;31134;Hildesheim;Lower Saxony;;https://www.agent-ally.de;"Hall 16, Stand F15, (6)";https://www.hannovermesse.de/exhibitor/agent-ally/N1609065;
Exhibitor;Agilebot Robotics Co., Ltd.;China;201101;Shanghai;;;http://www.sh-agilebot.com;"Hall 26, Stand C10";https://www.hannovermesse.de/exhibitor/agilebot-robotics/N1608756;
Exhibitor;Agile Robots SE;Germany;81369;München;Bavaria;;https://www.agile-robots.com;"Hall 27, Stand J72";https://www.hannovermesse.de/exhibitor/agile-robots/N1605316;
Exhibitor;Agrisoft Tiagro Desenvolvimento de Software Agricola Ltda;Brazil;05628-000;São Paulo SP;;;http://www.agrisoft.com.br;"Hall 11, Stand D55";https://www.hannovermesse.de/exhibitor/agrisoft-tiagro-desenvolvimento/N1609186;
Exhibitor;Aguzzoli S.r.l.;Italy;42122;Reggio Emilia;;;http://www.aguzzolisrl.com;"Hall 17, Stand A26";https://www.hannovermesse.de/exhibitor/aguzzoli/N1550539;
Exhibitor;AHP International GmbH & Co. KG;Germany;69115;Heidelberg;Baden-Wurttemberg;;https://www.ahp-international.com;"Hall 12, Stand E63";https://www.hannovermesse.de/exhibitor/ahp-international/N1607701;
Special Display;Deutsche Messe AG;Germany;30521;Hannover;Lower Saxony;;http://www.messe.de;"Hall 27, Stand B24";https://www.hannovermesse.de/exhibitor/ai-experience-pavilion/N1605387;
Exhibitor;AiF Projekt GmbH;Germany;13156;Berlin;Berlin;Berlin/IHK zu Berlin;http://www.aif-projekt-gmbh.de;"Hall 11, Stand B49";https://www.hannovermesse.de/exhibitor/aif-projekt/N1485944;
Exhibitor;AIGI Environmental Inc.;China;210036;Nanjing;;;https://www.aigienvironmental.com;"Hall 17, Stand E76";https://www.hannovermesse.de/exhibitor/aigi-environmental/N1605317;
Exhibitor;AILINK Network Co.,Ltd.;China;100080;Beijing;;;https://en.ailinking.com/;"Hall 14, Stand J66";https://www.hannovermesse.de/exhibitor/ailink-network/N1546275;
Exhibitor;AI Materia Inc.;Canada;;Burlington, ON L7L 0E7;;;https://aimateria.com;"Hall 14, Stand J06";https://www.hannovermesse.de/exhibitor/ai-materia/N1608208;
Exhibitor;Aimirim Solucoes Tecnologicas Integradas Ltda;Brazil;38408-562;Uberlandia MG;;;https://www.aimirimsti.com.br/en;"Hall 11, Stand D55";https://www.hannovermesse.de/exhibitor/aimirim-solucoes-tecnologicas-integradas/N1608945;
Exhibitor;Airfil Oy;Finland;37800;Akaa;;;http://www.airfil.fi;"Hall 17, Stand G58";https://www.hannovermesse.de/exhibitor/airfil/N1615062;
Exhibitor;AI Robotic GmbH;Germany;26121;Oldenburg;Lower Saxony;;https://ai-robotic.de;"Hall 11, Stand E44";https://www.hannovermesse.de/exhibitor/ai-robotic/N1610437;
Exhibitor;Airtisan Srl;Italy;47121;Forlì;;;https://airtisan.it;"Hall 11, Stand D53";https://www.hannovermesse.de/exhibitor/airtisan/N1605318;
Exhibitor;AISCI Ident GmbH;Germany;32108;Bad Salzuflen;North Rhine-Westphalia;;http://www.aisci.de;"Hall 26, Stand C15";https://www.hannovermesse.de/exhibitor/aisci-ident/N1605319;
Exhibitor;AI-Blox BV;Belgium;1390;Zaventem;;;http://ai-blox.com;"Hall 27, Stand F38/7";https://www.hannovermesse.de/exhibitor/ai-blox/N1608428;
Exhibitor;Ai-Innovate Solution Inc.;Canada;;Oakville, ON L6L 2Y2;;;https://ai-innovate.com;"Hall 27, Stand A12";https://www.hannovermesse.de/exhibitor/ai-innovate-solution/N1612998;
Exhibitor;ai-omatic solutions GmbH;Germany;20457;Hamburg;Hamburg;;http://www.ai-omatic.com;"Hall 11, Stand E66";https://www.hannovermesse.de/exhibitor/ai-omatic-solutions/N1513070;
Exhibitor;Akar Auto Industries Ltd.;India;;Mumbai 400009;;;http://www.akarauto.com;"Hall 17, Stand F60";https://www.hannovermesse.de/exhibitor/akar-auto-industries/N1578435;
Exhibitor;Akarion AG;Germany;80333;München;Bavaria;;http://akarion.com;"Hall 26, Stand F06, (22)";https://www.hannovermesse.de/exhibitor/akarion/N1606980;
Exhibitor;Akoglu Otomotiv San. ve Tic. A.?.;Türkiye;16275;Nilüfer;;;https://akoglu.com.tr;Exhibitor pre-registered - Hall and Booth No. to follow shortly;https://www.hannovermesse.de/exhibitor/akoglu-otomotiv/N1615063;
Exhibitor;Aksa Process Engineering Makine San. ve Tic. Ltd. Sti.;Türkiye;34714;Kadiköy;;;http://www.aksamagnet.com;"Hall 17, Stand A17";https://www.hannovermesse.de/exhibitor/aksa-process-engineering/N1611919;
Exhibitor;Aktif Elektroteknik San. ve Tic. A.S.;Türkiye;34775;Ümraniye;;;https://www.aktif.net;"Hall 12, Stand E64";https://www.hannovermesse.de/exhibitor/aktif-elektroteknik/N1476147;
Exhibitor;Alabama Department of Commerce;United States of America;;Montgomery 36130-4106;;;http://www.madeinalabama.com;"Hall 26, Stand E98, (27)";https://www.hannovermesse.de/exhibitor/alabama-department-of-commerce/N1576548;
Exhibitor;Alat Free Economic Zone Authority;Azerbaijan;1010;Baku;;;http://www.afez.az;"Hall 11, Stand E72";https://www.hannovermesse.de/exhibitor/alat-free-economic-zone-authority/N1608718;
Exhibitor;Alberta Machine Intelligence Institute;Canada;;Edmonton T5J 1S5;;;http://www.amii.ca;"Hall 27, Stand A12";https://www.hannovermesse.de/exhibitor/alberta-machine-intelligence-institute/N1570949;
Exhibitor;ALC BZ REMA;Ukraine;82300;Boryslav;;;https://bzrema.com/en/;"Hall 17, Stand A12";https://www.hannovermesse.de/exhibitor/alc-bz-rema/N1611053;
Exhibitor;Alfa Flexitubes Pvt. Ltd.;India;;Bahadurgarh 124507;;;https://www.alfa-flexitubes.com;"Hall 17, Stand F63";https://www.hannovermesse.de/exhibitor/alfa-flexitubes/N1605322;
Exhibitor;ALFA PLASTIC s.a.s. di Fioratti Paolo & C.;Italy;20841;Carate Brianza;;;http://www.alfaelectric.com;"Hall 27, Stand D90";https://www.hannovermesse.de/exhibitor/alfa-plastic/D433563;
Exhibitor;Alfra GmbH;Germany;68766;Hockenheim;Baden-Wurttemberg;;http://www.alfra.de;"Hall 27, Stand D50";https://www.hannovermesse.de/exhibitor/alfra/N1614080;
Exhibitor;Alleantia S.r.l.;Italy;56025;Pontedera;;;http://www.alleantia.com;"Hall 17, Stand A26";https://www.hannovermesse.de/exhibitor/alleantia/N1614973;
Exhibitor;Allexo Tecnologia Ltda.;Brazil;90230-241;Porto Alegre RS;;;https://www.allexo.com.br;"Hall 11, Stand D55";https://www.hannovermesse.de/exhibitor/allexo-tecnologia/N1608633;
Exhibitor;All for One Group SE;Germany;70794;Filderstadt;Baden-Wurttemberg;;http://www.all-for-one.com;"Hall 15, Stand F08";https://www.hannovermesse.de/exhibitor/all-for-one-group/N1612417;
Exhibitor;MulteFire Alliance Alliance for Private Networks;United States of America;;Fremont, CA 94538;;;https://www.mfa-tech.org;"Hall 26, Stand G31";https://www.hannovermesse.de/exhibitor/alliance-for-private-networks-mfa-/N1613179;
Exhibitor;Alliance United Cable Technology (Ji'an) Co., Ltd.;China;343100;Ji'an;;;http://www.aucwire.com;"Hall 12, Stand G54";https://www.hannovermesse.de/exhibitor/alliance-united-cable-technology-ji-an-/N1608430;
Exhibitor;Allianz Industrie 4.0 Baden-Württemberg beim Verband Deutscher Maschinen- und Anlagenbau e.V.;Germany;70173;Stuttgart;Baden-Wurttemberg;;http://www.i40-bw.de;"Hall 14, Stand J40";https://www.hannovermesse.de/exhibitor/allianz-industrie-4-0/H764558;
Exhibitor;all3D Oy;Finland;28600;Pori;;;http://www.all3d.fi;Digital Only;https://www.hannovermesse.de/exhibitor/all3d/N1612312;
Exhibitor;Almex GmbH;Germany;30539;Hannover;Lower Saxony;;https://www.almex.de;"Hall 26, Stand G70";https://www.hannovermesse.de/exhibitor/almex/N1609482;
Exhibitor;alphacam GmbH;Germany;73614;Schorndorf;Baden-Wurttemberg;Stuttgart/IHK Region Stuttgart;https://www.alphacam.de;"Hall 17, Stand D30";https://www.hannovermesse.de/exhibitor/alphacam/N1476151;
Exhibitor;Alphacast Co., Ltd.;Taiwan;33858;Taoyuan;;;https://www.alphacast.co.th;"Hall 17, Stand A21";https://www.hannovermesse.de/exhibitor/alphacast/N1572524;
Exhibitor;AlphaTec GmbH;Germany;09112;Chemnitz;Saxony;;http://www.alpha-tec.gmbh;"Hall 16, Stand F15, (21)";https://www.hannovermesse.de/exhibitor/alphatec-compliance-hub/N1613218;
Exhibitor;Alstom Transportation Germany GmbH;Germany;10587;Berlin;Berlin;;http://www.alstom.com/alstom-germany;Convention Center (CC);https://www.hannovermesse.de/exhibitor/alstom-transportation-germany/N1580014;
Exhibitor;Al Ti Color S.r.l.;Italy;35016;Piazzola Sul Brenta;;;https://www.alticolor.com;"Hall 26, Stand C69";https://www.hannovermesse.de/exhibitor/al-ti-color/N1609291;
